ZCR,Energy,Entropy_of_energy,Spectral_centroid,Spectral_spread,Spectral_entropy,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Chroma_vector1,Chroma_vector2,Chroma_vector3,Chroma_vector4,Chroma_vector5,Chroma_vector6,Chroma_vector7,Chroma_vector8,Chroma_vector9,Chroma_vector10,Chroma_vector11,Chroma_vector12,Chroma_deviation,Class
0.0764,0.00592,2.68,0.124,0.154,0.572,0.101,-21.9,1.21,-0.216,-0.969,-0.498,-0.296,-0.125,0.0551,-0.0801,-0.229,-0.266,-0.212,-0.133,0.00128,0.000859,0.000664,0.000604,0.000527,0.000237,0.000397,0.000431,0.00041,0.000756,0.000825,0.000789,0.000268,Cry
0.0918,0.00169,1.76,0.109,0.132,0.346,0.0685,-26.7,-0.0889,-0.783,-1.24,-0.273,-0.43,0.0523,-0.25,0.0128,-0.222,0.172,-0.282,0.0652,0.000134,0.000378,7.6E-05,6.46E-05,3.89E-05,6.93E-05,0.00011,0.00036,0.000153,9.35E-05,5.25E-05,4.99E-05,0.000111,Cry
0.0878,0.00312,1.96,0.171,0.172,1.05,0.124,-30.3,-3.21,-0.298,-0.898,0.607,-0.132,-0.113,-0.0752,-0.00587,-0.169,-0.0339,-0.084,0.0745,7.6E-05,0.000383,5.36E-05,0.000122,9.22E-05,0.000403,1.21E-05,1.9E-05,2.5E-05,0.0002,1.81E-05,7.56E-05,0.000131,Cry
0.0681,0.0409,2.56,0.132,0.123,0.544,0.109,-32.5,-1.16,-0.316,-1.14,0.245,-0.429,0.181,-0.0442,-0.128,-0.175,-0.0632,-0.0467,-0.0641,2.35E-06,9.4E-06,1.35E-05,1.37E-05,1.33E-05,5.42E-06,1.13E-06,5.62E-06,1.11E-05,0.000122,8.31E-05,4.41E-06,3.64E-05,Cry
0.0863,0.0216,2.66,0.119,0.117,0.467,0.0865,-30.7,-1.4,-0.24,-0.243,-0.0915,-0.213,0.114,-0.273,-0.0292,-7.24E-05,-0.0107,-0.0512,0.00627,8.01E-05,4.21E-05,1.41E-05,1.26E-05,1.01E-05,2.36E-05,2.35E-05,1.3E-05,4.23E-05,3.78E-05,1.37E-05,1.66E-05,1.95E-05,Cry
0.106,0.00201,0.279,0.104,0.142,0.194,0.0547,-27.8,-0.592,-0.11,-0.355,0.00562,-0.567,0.47,-0.347,-0.135,0.131,-0.205,-0.0298,0.143,1.06E-05,1.23E-05,1.62E-05,2.94E-05,4.85E-05,0.000154,3.99E-05,9.72E-05,0.000111,4.59E-05,2.95E-05,1.61E-05,4.38E-05,Cry
0.0538,0.01,2.16,0.0784,0.101,0.2,0.0712,-26,-4.04,0.258,0.407,-0.614,0.131,0.372,-0.162,-0.192,0.21,-0.0762,-0.153,0.204,4.02E-05,0.000351,0.000123,5.56E-05,6.85E-05,0.000248,0.000184,0.000184,0.000267,0.00013,0.000196,0.000131,8.88E-05,Cry
0.103,0.00197,1.38,0.109,0.158,0.138,0.0475,-26.4,-3.73,0.189,0.156,-0.738,0.288,0.473,-0.377,-0.0715,-0.0872,-0.213,0.0735,-0.233,0.000163,0.000589,1.9E-05,3.72E-05,0.000138,0.0003,0.000191,0.000391,0.000319,0.000471,0.000422,0.00101,0.000263,Cry
0.0786,0.0158,1.27,0.133,0.169,0.209,0.061,-23,0.455,-0.472,-0.558,-0.672,-0.337,-0.362,-0.339,0.119,0.239,0.114,-0.175,-0.209,7.03E-05,5.07E-05,0.000144,0.00019,4.93E-05,3.1E-05,7.29E-05,0.000118,0.00016,0.000184,0.000145,0.000101,5.27E-05,Cry
0.104,0.0207,1.74,0.199,0.168,1.08,0.144,-27.6,0.0596,-1.27,-0.238,0.0504,-0.0573,-0.325,-0.251,-0.186,-0.295,-0.0267,-0.22,-0.0413,3.91E-05,6.31E-06,7.98E-05,2.17E-05,5.16E-05,4.96E-06,7.73E-06,6.71E-06,1.87E-05,3.46E-05,3.91E-05,1.17E-05,2.19E-05,Cry
