ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.0764,0.00592,0.124,0.154,0.101,-21.9,1.21,-0.216,-0.498,-0.296,-0.125,0.000825,Cry
0.0918,0.00169,0.109,0.132,0.0685,-26.7,-0.0889,-0.783,-0.273,-0.43,0.0523,5.25E-05,Cry
0.0878,0.00312,0.171,0.172,0.124,-30.3,-3.21,-0.298,0.607,-0.132,-0.113,1.81E-05,Cry
0.0681,0.0409,0.132,0.123,0.109,-32.5,-1.16,-0.316,0.245,-0.429,0.181,8.31E-05,Cry
0.0863,0.0216,0.119,0.117,0.0865,-30.7,-1.4,-0.24,-0.0915,-0.213,0.114,1.37E-05,Cry
0.106,0.00201,0.104,0.142,0.0547,-27.8,-0.592,-0.11,0.00562,-0.567,0.47,2.95E-05,Cry
0.0538,0.01,0.0784,0.101,0.0712,-26,-4.04,0.258,-0.614,0.131,0.372,0.000196,Cry
0.103,0.00197,0.109,0.158,0.0475,-26.4,-3.73,0.189,-0.738,0.288,0.473,0.000422,Cry
0.0786,0.0158,0.133,0.169,0.061,-23,0.455,-0.472,-0.672,-0.337,-0.362,0.000145,Cry
0.104,0.0207,0.199,0.168,0.144,-27.6,0.0596,-1.27,0.0504,-0.0573,-0.325,3.91E-05,Cry
0.129,0.0219,0.198,0.172,0.117,-27.3,0.248,-0.691,-0.256,-0.531,-0.296,3.32E-05,Cry
0.118,0.00942,0.201,0.16,0.147,-28.6,-0.107,-1.11,-0.0973,-0.172,-0.0217,3.96E-06,Cry
0.0942,0.00382,0.132,0.177,0.0725,-27,-1.44,-0.856,-0.436,0.268,-0.21,3.82E-05,Cry
0.0923,0.0122,0.169,0.203,0.0972,-25.2,-1.78,-1.05,-0.36,0.386,0.157,9.21E-05,Cry
0.147,0.00159,0.224,0.261,0.0962,-25.1,-0.55,-1.46,-0.0801,0.0635,0.177,0.00011,Cry
0.108,0.00623,0.139,0.21,0.0419,-23.6,-2.88,-0.614,-0.948,0.676,-0.251,0.000275,Cry
0.171,0.0075,0.223,0.154,0.4,-28.5,-0.818,-0.491,0.171,-0.0253,-0.49,0.000109,Cry
0.158,0.0206,0.213,0.147,0.32,-29.2,-1.38,0.427,0.0168,0.168,-0.217,3.43E-05,Cry
0.14,0.0225,0.179,0.129,0.265,-29,-0.991,0.241,0.0722,0.107,-0.245,5.97E-06,Cry
0.155,0.0242,0.201,0.133,0.318,-30.3,-1.51,0.659,0.109,-0.0306,0.0443,0.000335,Cry
0.143,0.0184,0.204,0.134,0.313,-29.8,-1.26,0.0341,0.0583,0.134,-0.153,9.47E-06,Cry
0.137,0.0195,0.2,0.148,0.31,-28.5,-0.719,-0.545,0.143,0.188,-0.32,1.94E-05,Cry
0.158,0.00844,0.196,0.172,0.325,-28,-0.989,0.582,0.328,-0.0983,0.0104,0.000213,Cry
