Energy,Spectral_spread,Spectral_rollof,MFCC2,MFCC3,Class
0.00592,0.154,0.101,1.21,-0.216,Cry
0.00169,0.132,0.0685,-0.0889,-0.783,Cry
0.00312,0.172,0.124,-3.21,-0.298,Cry
0.0409,0.123,0.109,-1.16,-0.316,Cry
0.0216,0.117,0.0865,-1.4,-0.24,Cry
0.00201,0.142,0.0547,-0.592,-0.11,Cry
0.01,0.101,0.0712,-4.04,0.258,Cry
0.00197,0.158,0.0475,-3.73,0.189,Cry
0.0158,0.169,0.061,0.455,-0.472,Cry
0.0207,0.168,0.144,0.0596,-1.27,Cry
0.0219,0.172,0.117,0.248,-0.691,Cry
0.00942,0.16,0.147,-0.107,-1.11,Cry
0.00382,0.177,0.0725,-1.44,-0.856,Cry
0.0122,0.203,0.0972,-1.78,-1.05,Cry
0.00159,0.261,0.0962,-0.55,-1.46,Cry
0.00623,0.21,0.0419,-2.88,-0.614,Cry
0.0075,0.154,0.4,-0.818,-0.491,Cry
0.0206,0.147,0.32,-1.38,0.427,Cry
0.0225,0.129,0.265,-0.991,0.241,Cry
0.0242,0.133,0.318,-1.51,0.659,Cry
0.0184,0.134,0.313,-1.26,0.0341,Cry
0.0195,0.148,0.31,-0.719,-0.545,Cry
0.00844,0.172,0.325,-0.989,0.582,Cry
0.00616,0.17,0.102,-0.459,-0.623,Cry
0.00528,0.167,0.274,0.0251,-0.189,Cry
0.00637,0.16,0.349,-0.823,0.087,Cry
0.00939,0.153,0.349,-0.896,0.292,Cry
0.00478,0.17,0.236,0.0718,-0.391,Cry
0.00552,0.166,0.109,-0.495,-0.0998,Cry
0.0026,0.172,0.079,-0.249,-0.311,Cry
0.00404,0.161,0.232,-0.181,-0.467,Cry
0.0215,0.147,0.297,-0.733,0.345,Cry
0.0164,0.155,0.38,-1.19,0.0325,Cry
0.0408,0.134,0.245,-1.17,0.61,Cry
0.0284,0.129,0.222,-1.22,0.672,Cry
0.0366,0.117,0.218,-1.48,0.579,Cry
0.0281,0.122,0.28,-1.91,0.994,Cry
0.0237,0.119,0.224,-1.44,0.93,Cry
0.0275,0.117,0.23,-1.2,0.735,Cry
0.0226,0.112,0.249,-1.29,0.858,Cry
0.0207,0.119,0.258,-1.2,0.903,Cry
0.0238,0.121,0.249,-1.29,0.842,Cry
0.0249,0.126,0.242,-1.57,0.746,Cry
0.0228,0.116,0.24,-1.64,0.827,Cry
0.0187,0.133,0.236,-1.35,0.684,Cry
0.0282,0.118,0.248,-1.38,0.631,Cry
0.0215,0.123,0.228,-1.46,0.93,Cry
0.0124,0.148,0.318,-0.988,-0.389,Cry
0.0168,0.154,0.391,-1.76,0.239,Cry
0.00586,0.144,0.296,-0.0632,0.479,Cry
0.0123,0.155,0.346,-0.634,0.239,Cry
0.011,0.134,0.193,-0.938,-0.0548,Cry
0.0149,0.134,0.181,-1.36,-0.155,Cry
0.0126,0.143,0.277,-1.27,-0.0978,Cry
0.0125,0.2,0.154,0.582,1.21,Cry
0.0229,0.203,0.168,0.12,0.947,Cry
0.0177,0.205,0.158,0.589,1.15,Cry
0.0165,0.203,0.161,0.464,0.863,Cry
0.0155,0.202,0.15,0.663,0.873,Cry
0.00805,0.197,0.161,0.682,1.39,Cry
0.0159,0.165,0.145,-2.81,1.52,Cry
0.014,0.188,0.144,-2.33,1.51,Cry
0.0186,0.167,0.196,-2.55,1.39,Cry
0.00465,0.12,0.085,-1.82,-0.26,Cry
0.00207,0.12,0.0886,-1.76,-0.094,Cry
0.0161,0.11,0.0943,-2.41,0.233,Cry
0.00807,0.113,0.108,-2.22,-0.14,Cry
0.0161,0.106,0.0898,-2.39,0.0245,Cry
0.00771,0.0969,0.105,-2.4,0.539,Cry
0.0354,0.11,0.0404,-1.18,0.361,Cry
0.0162,0.168,0.0572,1.93,0.76,Cry
